Title,Subtitle,Author,Publisher,Description,Category,Search Category
Ethics,The Philosophy of Right and Wrong,Edited by: Kisak,Createspace Independent Publishing Platform,"Ethics or moral philosophy is the branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct. As a branch of philosophy, ethics investigates the questions ""What is the best way for people to live?"" and ""What actions are right or wrong in particular circumstances?"" In practice, ethics seeks to resolve questions of human morality, by defining concepts such as good and evil, right and wrong, virtue and vice, justice and crime. As a field of intellectual enquiry, moral philosophy also is related to the fields of moral psychology, descriptive ethics, and value theory. The three major areas of study within ethics are: 1.Meta-ethics, concerning the theoretical meaning and reference of moral propositions, and how their truth values (if any) can be determined 2.Normative ethics, concerning the practical means of determining a moral course of action 3.Applied ethics, concerning what a person is obligated (or permitted) to do in a specific situation or a particular domain of action This book discusses the branch of philosophy called ethics.",,philosophy ethics
Natural Law Ethics,,Philip E. Devine,Praeger,"The natural law tradition, which takes as central to moral discussion an appeal to our common humanity, provides a sustainable and attractive approach to problems of ethics and morals. This volume presents a contemporary version of natural law ethics, one that does not rely for support on the authority of Aristotle or St. Thomas Aquinas, however much it is indebted to them and their followers for inspiration and arguments. The author discusses the mutual relations of four key moral conceptsâ€”the good, virtue, duty, and rightsâ€”as well as their application to various issues, including environmental concerns, homosexuality, and suicide. While examining the role of morality in a way of life and the relation between morality and religion, he defends the natural law tradition against a range of philosophical and theological opponents.","""Law""",philosophy ethics
Ethics Beyond the Limits,New Essays on Bernard Williamsâ€™ Ethics and the Limits of Philosophy,"Sophie Grace Chappell, Marcel van Ackeren",Routledge,"Bernard Williamsâ€™ Ethics and the Limits of Philosophy is widely regarded as one of the most important works of moral philosophy in the last fifty years. Williamsâ€™s powerful sceptical critique of the ""morality system"" sent shockwaves through philosophy, the implications of which are still being reckoned with thirty years later. In this outstanding collection of new essays, fourteen internationally-recognised philosophers examine the enduring contribution that Williamsâ€™s book continues to make to ethics. After a detailed topical summary of Ethics and the Limits of Philosophy by Adrian Moore, the full scope of the work is assessed, including the role of Aristotle and Hume in Williamsâ€™ thought and his arguments concerning the history of philosophy; the nature of virtue, the good life, practical reason, and deliberation; and the themes of duty, blame and inauthenticity. Ethics Beyond the Limits is required reading for students and researchers in ethics, metaethics, and moral psychology, and highly recommended for anyone studying the work of Bernard Williams.","""Philosophy""",philosophy ethics
"Minds, Ethics, and Conditionals",Themes from the Philosophy of Frank Jackson,Ian Ravenscroft,OUP Oxford,"An illustrious line-up of seventeen philosophers from the USA, the UK, and Australia present new essays on themes from the work of Frank Jackson, which bridges mind, language, logic, metaphysics, and ethics. Central to Jackson's work is an approach to metaphysical issues built on the twin foundations of supervenience and conceptual analysis. In the first part of the book six essays examine this approach and its application to philosophy of mind and philosophy of colour. The second part focuses on Jackson's highly influential work on phenomenal consciousness. The third part is devoted to Jackson's work in ethics, both normative ethics and metaethics. The last three papers discuss Jackson's ground-breaking work on conditionals. The final section of the book comprises a substantial essay by Jackson in reply to his critics: this offers some of the clearest expressions of the ideas which Jackson has brought to the fore in philosophy.","""Philosophy""",philosophy ethics
The Catholic Encyclopedia: Diocese-Fathers,,,,,"""Encyclopedias and dictionaries""",philosophy ethics
Nicomachean Ethics,,"Aristotle, James Edward Cowell Welldon",,"This work presents the Nicomachean Ethics in a fresh English translation by Christopher Rowe that strives to be meticulously accurate yet also accessible. The translation is accompanied by Sarah Broadie's detailed line-by-line commentary, which brings out the subtlety of Aristotle's thought asit develops from moment to moment. In addition, a substantial introductory section features a thorough examination of the text's main themes and interpretative problems and also provides preambles to each of the ten books of the Nicomachean Ethics. An indispensable resource for students approachingthe Nicomachean Ethics for the first time, this detailed treatment is ideal for courses in classical or ancient philosophy, the philosophy of Aristotle, and ethics.","""Philosophy""",philosophy ethics
Behavior,An Introduction to Comparative Psychology,John Broadus Watson,,,"""Psychology""",psychology behavior
Psychology for Kids,The Science of the Mind and Behavior,"Jacqueline B. Toner, Claire A. B. Freeland",American Psychological Association,"This exciting book introduces kids to the science of psychology, with chapters on the brain, personality, intelligence, emotions, social relationships, and more. Accompanied by colorful illustrations of psychologyâ€™s big ideas, and lots of hands-on experiments to try at home, thereâ€™s no better way to dive into the fascinating science of the mind. Why do we sleep? What are feelings? How do we make decisions, and how do we learn from them? Psychology helps us ask and answer these big questions about ourselves, others, and the world around us.","""Juvenile Nonfiction""",psychology behavior
Behavior,An Introduction to Comparative Psychology,John Broadus Watson,Palala Press,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,psychology behavior
Psychology from the Standpoint of a Behaviorist,,John B. Watson,Smyth Press,"This historic book may have numerous typos and missing text. Purchasers can download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1902 Excerpt: ...earth. r' = radius of moon, or other body. P = moon's horizontal parallax = earth's angular semidiameter as seen from the moon. f = moon's angular semidiameter. Now = P (in circular measure), r'-r = r (in circular measure);.'. r: r':: P: P', or (radius of earth): (radios of moon):: (moon's parallax): (moon's semidiameter). Examples. 1. Taking the moon's horizontal parallax as 57', and its angular diameter as 32', find its radius in miles, assuming the earth's radius to be 4000 miles. Here moon's semidiameter = 16';.-. 4000::: 57': 16';.-. r = 400 16 = 1123 miles. 2. The sun's horizontal parallax being 8""8, and his angular diameter 32V find his diameter in miles. ' Am. 872,727 miles. 3. The synodic period of Venus being 584 days, find the angle gained in each minute of time on the earth round the sun as centre. Am. l""-54 per minute. 4. Find the angular velocity with which Venus crosses the sun's disc, assuming the distances of Venus and the earth from the sun are as 7 to 10, as given by Bode's Law. Since (fig. 50) S V: VA:: 7: 3. But Srhas a relative angular velocity round the sun of l""-54 per minute (see Example 3); therefore, the relative angular velocity of A V round A is greater than this in the ratio of 7: 3, which gives an approximate result of 3""-6 per minute, the true rate being about 4"" per minute. Annual ParaUax. 95. We have already seen that no displacement of the observer due to a change of position on the earth's surface could apparently affect the direction of a fixed star. However, as the earth in its annual motion describes an orbit of about 92 million miles radius round the sun, the different positions in space from which an observer views the fixed stars from time to time throughout the year must be separated ...","""Psychology""",psychology behavior
The Psychology of Habit,"Theory, Mechanisms, Change, and Contexts",Bas Verplanken,Springer,"This unique reference explores the processes and nuances of human habits through social psychology and behavioral lenses. It provides a robust definition and theoretical framework for habit as well as up-to-date information on habit measurement, addressing such questions as which mechanisms are involved in habitual action and whether people can report accurately on their own habits. Specialized chapters pay close attention to how habits can be modified, as well as widely varying manifestations of habitual thoughts and behaviors, including the mechanisms of drug addiction and recovery, the repetitive characteristics of autism, and the unwitting habits of health professionals that may impede patient care. And across these pages, contributors show the potential for using the processes of maladaptive habits to replace them with positive and health-promoting ones. Throughout this volume attention is also paid to the practice of conducting habit research. Among the topics covered: Habit mechanisms and behavioral complexity. Complexities and controversies of physical activity habit. Habit discontinuities as vehicles for behavior change. Habits in depression: understanding and intervention. A critical review of habit theory of drug dependence. Questions about the automaticity of habitual behaviors. The Psychology of Habit will interest psychologists across a wide spectrum of domains: habit researchers in broader areas of social and health psychology, professionals working in (sub)clinical areas, interested scholars in marketing, consumer research, communication, and education, and public policymakers dealing with questions of behavioral change in the areas of health, sustainability, and/or education.","""Psychology""",psychology behavior
The Handbook of Behavior Change,,"Martin S. Hagger, Linda D. Cameron, Kyra Hamilton, Nelli Hankonen, Taru Lintunen",Cambridge University Press,"Social problems in many domains, including health, education, social relationships, and the workplace, have their origins in human behavior. The documented links between behavior and social problems have compelled governments and organizations to prioritize and mobilize efforts to develop effective, evidence-based means to promote adaptive behavior change. In recognition of this impetus, The Handbook of Behavior Change provides comprehensive coverage of contemporary theory, research, and practice on behavior change. It summarizes current evidence-based approaches to behavior change in chapters authored by leading theorists, researchers, and practitioners from multiple disciplines, including psychology, sociology, behavioral science, economics, philosophy, and implementation science. It is the go-to resource for researchers, students, practitioners, and policy makers looking for current knowledge on behavior change and guidance on how to develop effective interventions to change behavior.","""Psychology""",psychology behavior
Behavior,An Introduction to Comparative Psychology,John B. 1878-1958 Watson,Palala Press,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,psychology behavior
Behavior and Personality,Psychological Behaviorism,"Walter W. Staats, PhD",Springer Publishing Company,"In this capstone work, Arthur Staats synthesizes more than four decades of research, theory, and study into a new generation of behaviorism that offers insights and future directions for researchers, professionals, and students. Staats's unified theory of psychological behaviorism builds on current theories in child development, personality, psychological measurement, and abnormal behavior. His theoretical model provides new ways to consider human behavior as a whole that will have implications for research, theory, and practice.","""Psychology""",psychology behavior
Psychology,The Science of Behavior,Neil R. Carlson,,"This edition continues to treat the discipline as an experimental and natural science, combining a scholarly survey of research with applications of research results to problems that confront us today. KEY TOPICS: Emphasizes psychology as a science. Includes topics such as heredity, behavior genetics, sociobiology, and health psychology. Copyright Â© Libri GmbH. All rights reserved.","""Psychology""",psychology behavior
Psychology,A Behavioral Overview,"Alan Poling, Henry Schlinger, Stephen Starin, Elbert Blakely",Springer,"Psychology: A Behavioral Overview is an introductory text with an orienting per spective that is frankly behavioral rather than eclectic. This focus is made quite clear in the first chapter of the book, but in the remainder it also becomes clear that such a focus permits coverage of most of the topics found in the more common introductory text. Actually, the next five chapters (dealing with psy chology as a scienc~, methodology, evolution, physiology, and learning) are in many ways comparable to the treatments provided in more eclectic introductory texts. The behavioral focus and the departure from traditional approaches be come most significant in the last six chapters which deal with traditional psycho logical topics (e. g. , language, child development, and personality)-but deal with them systematically in terms of the concepts and principles introduced in the chapters on evolution and physiology, and especially in the chapter on learning. Using the concepts provided early in the text to interpret complex aspects of human behavior provides valuable justification for those concepts, as well as an opportunity for improved understanding of them. Although students will not make extensive contact with the variety of the oretical approaches found in the typical text, they will become especially compe tent in the use of behavioral concepts and principles to interpret and understand many of the topics of traditional importance in psychology.","""Psychology""",psychology behavior
Behavior and Its Causes,Philosophical Foundations of Operant Psychology,T.L. Smith,Springer Science & Business Media,"The rise of cognitive science in the 1960s was widely heralded as a scientific revolution -- an interpretation that implied the decline and eventual death of behavioral psychology. Although many forms of behavioral psychology did indeed disappear, there was a striking exception: the program of operant psychology founded by B.F. Skinner. This program actually grew at a rapid pace during the `cognitive revolution' and shows no signs of fading away. What, then, is its place within psychology, and in particular, what is its relationship with cognitive psychology? This book attempts to answer that question. Distinguishing between operant psychology and the philosophy of radical behaviorism, it concludes that even though radical behaviorism may have been a failure, the operant program of research has been a success. Furthermore, operant psychology and cognitive psychology complement one another, each having its own domain within which it contributes something valuable to, but beyond the reach of, the other.","""Education""",psychology behavior
Understanding Behavior in the Context of Time,"Theory, Research, and Application","Alan Strathman, Jeff Joireman",Psychology Press,"Understanding Behavior in the Context of Time reviews the research on temporal orientation and brings together the disparate social behaviors influenced by time perspective. Organized into four sections, each chapter includes theory, research, applications, and directions for future research. Some chapters outline novel theoretical approaches that help to expand and/or integrate existing theories. The second part focuses on individual level processes and reviews the conceptualization, measurement, and lifespan development of time orientation; the outcomes associated with various time orientations; and how temporal factors influence attitudes and persuasion. Part three explores the role of time within interpersonal and group level processes as applied to such areas as close relationships, group cooperation, aggression, organizational behavior, pro-environmental behavior, and cultural issues. This book will be of interest to social and personality psychologists, and the book's applied emphasis will appeal to health, environmental, and industrial psychologists.","""Psychology""",psychology behavior
Psychology,The Frontiers of Behavior,"Ronald Edward Smith, Irwin G. Sarason, Barbara R. Sarason",HarperCollins Publishers,,"""Psychology""",psychology behavior
Research Methods in Psychology,Investigating Human Behavior,"Paul G. Nestor, Russell K. Schutt",SAGE Publications,"The Second Edition of Paul G. Nestor and Russell K. Schuttâ€™s successful and unique Research Methods in Psychology: Investigating Human Behavior draws from substantive research stories to illustrate how research is presented while systematically unifying the entire research process within a conceptual framework. This accessible text examines engaging research studies and examples, considering research ethics throughout. â€œThis is a great text that emphasizes the important concepts within research methods. The resources are excellent; they incorporate up-to-date research and technology and introduce the student to empirical articles, and the information is presented in a way that challenges the student to apply the material.â€ â€”Maria Pacella, Kent State University â€œThe text is comprehensive. It covers a wide variety of information without being overwhelming. This is a very good textbook for an introductory course in research methods. I like that its focus is on psychological research specifically.â€ â€”Angela M. Heads, Prairie View A&M University","""Social Science""",psychology behavior
Library of Congress Subject Headings,,Library of Congress,,,"""Subject headings"", ""Library of Congress""",psychology behavior
Behavioral Psychology: Understanding Human Behavior,,Tom Eccleston,Clanrye International,"Behavioral psychology is the scientific study of the behavior exhibited by humans. The behavior is mostly observed in reaction to specific situations. Behavioral psychology integrates principles of philosophy and psychology. This book presents the complex subject of behavioral psychology in the most comprehensible and easy to understand language. From theories to research to practical applications, case studies related to all contemporary topics of relevance to this field have been included herein. It will help the readers in keeping pace with the rapid changes in this field.","""Psychology""",psychology behavior
Behavior,,John Broadus Watson,Palala Press,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,psychology behavior
Medical and Health Related Sciences Thesaurus,,National Institutes of Health (U.S.),,Indexing terms used in CRISP (Computer Retrieval of Information on Scientific Projects) and in Research grants index. Alphabetical arrangement. Cross references under terms.,"""Subject headings""",psychology behavior
Library of Congress Subject Headings,,,,,"""Subject headings"", ""Library of Congress""",psychology behavior
Behavior and Mind,The Roots of Modern Psychology,Howard Rachlin,"Oxford University Press, USA","This book attempts to synthesize two apparently contradictory views of psychology: as the science of internal mental mechanisms and as the science of complex external behavior. Most books in the psychology and philosophy of mind reject one approach while championing the other, but Rachlin argues that the two approaches are complementary rather than contradictory. Rejection of either involves disregarding vast sources of information vital to solving pressing human problems--in the areas of addiction, mental illness, education, crime, and decision-making, to name but a few. Where previous books have focused either on psychology as an abstract science of the mind or as a strictly empirical approach to behavioral problems, this is the only book that attempts to show how the best modern theoretical work on mental mechanisms relates to the best modern empirical work on complex behavioral problems. It will be of considerable interest to psychologists and philosophers across many disciplines and perspectives.","""Philosophy""",psychology behavior
Psyche,,Charles Kay Ogden,,,"""Parapsychology""",psychology behavior
The Journal of Social Forces,,,,,"""Electronic journals""",psychology behavior
The Social Sciences and Their Interrelations,,"William F. Ogburn, Alexander Goldenweiser",,,"""Social sciences""",psychology behavior
The Nation,,,,,"""Current events""",psychology behavior
The Mental and the Physical,,Howard Crosby Warren,,,"""Mind and body""",psychology behavior
"""Code of Massachusetts regulations, 1993""",,,,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,,psychology behavior
"""Code of Massachusetts regulations, 1994""",,,,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,,psychology behavior
"""Code of Massachusetts regulations, 1996""",,,,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,,psychology behavior
Psychological Review,,"James Mark Baldwin, James McKeen Cattell, Howard Crosby Warren, John Broadus Watson, Herbert Sidney Langfeld, Carroll Cornelius Pratt, Theodore Mead Newcomb",,Issues for 1894-1903 include the section: Psychological literature.,"""Electronic journals""",psychology behavior
,,,,,,psychology behavior
Science,,,,"Vols. for 1911-13 contain the Proceedings of the Helminothological Society of Washington, ISSN 0018-0120, 1st-15th meeting.","""Science""",psychology behavior
The Psychology of Human Behavior,,Richard A. Kalish,,,"""Psychologie""",psychology behavior
The American Journal of Nursing,,,,,"""Nurses""",psychology behavior
School and Society,,,,,"""Education""",psychology behavior
School and Society,,"James McKeen Cattell, Raymond Walters",,,"""Education""",psychology behavior
School & Society,,"James McKeen Cattell, Will Carson Ryan, Raymond Walters",,,"""Education""",psychology behavior
Goal Directed Behavior,The Concept of Action in Psychology,"Michael Frese, John Sabini",Routledge,"Originally published in 1985, this book was an attempt at a comprehensive review of the psychology of action in various areas of psychology. It is also an attempt to bridge two languages and traditions in psychology: German and Anglo-American. Although Anglo-American psychology had had an enormous influence on German psychology, the influence had not gone the other way around â€“ at least not in recent years. Therefore, this book attempts to get the two traditions to speak with each other. The main article, from one language area, and the following discussion, from the other language area, together result in an extensive treatment of an action-theoretic approach in the respective psychological area; thus, both the main article and ""discussion"" should be read together.","""Psychology""",psychology behavior
The Journal of Educational Research,,,,,"""Education""",psychology behavior
The Nation's Health,,,,,"""Medicine""",psychology behavior
The Nation's Health,,"Charles-Edward Amory Winslow, Frank Leslie Rector",,,"""Medicine""",psychology behavior
The New Republic,,Herbert David Croly,,,"""Political science""",psychology behavior
The New History and the Social Studies,,Harry Elmer Barnes,,"Adopted by woodchucks at birth, a baby goose never feels she truly belongs--until the day she discovers she can fly.","""Historiography""",psychology behavior
The Teacher's Journal,,,,,"""Education""",psychology behavior
Domjan and Burkhard's The Principles of Learning and Behavior,,"Michael Domjan, Barbara Burkhard",Wadsworth Publishing Company,"This popular text gives students a comprehensive and readable introduction to contemporary issues in learning and behavior. The books balanced coverage, careful organization, and focus on animal learning have made it a favorite for years with professors and students alike. The book provides a systematic introduction to elementary forms of learning that have been the focus of research for much of the twentieth century: habituation, classical conditioning, instrumental conditioning, stimulus control, aversive control, and their applications to the study of cognition and to the alleviation of behavior problems. Biological constraints on learning are integrated throughout the text, as are applications boxes that relate animal research to human learning and behavior. The book is organized so that each chapter builds on the previous one, and simpler phenomena (habituation and sensitization) are described before more complicated ones. Within each chapter, information is also presented in increasing order of complexity. Throughout, analogies and examples help simplify and clarify concepts.","""Education""",psychology behavior
Behavior,An Introduction to Comparative Psychology,John B (John Broadus) 1878- Watson,Legare Street Press,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,psychology behavior
The Bulletin of the University of Minnesota [Announcements].,,University of Minnesota,,,,psychology behavior
Bulletin,,University of Minnesota,,,,psychology behavior
"""Code of Massachusetts regulations, 1992""",,,,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,,psychology behavior
Bibliographia Eugenica,,,,,"""Eugenics""",psychology behavior
Eugenical News,,,,,"""Eugenics""",psychology behavior
The Encyclopedia Americana,A Library of Universal Knowledge,,,,"""Encyclopedias and dictionaries""",psychology behavior
The Philosophical Review,,"Jacob Gould Schurman, James Edwin Creighton, Frank Thilly, Gustavus Watts Cunningham",,An international journal of general philosophy.,"""Electronic journals""",psychology behavior
The Journal of Philosophy,,,,"Covers topics in philosophy, psychology, and scientific methods. Vols. 31- include ""A Bibliography of philosophy,"" 1933-","""Philosophy""",psychology behavior
"""Code of Massachusetts regulations, 2015""",,,,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,,psychology behavior
Mental Hygiene,,,,,"""Mental health""",psychology behavior
Medical Subject Headings,Tree structures,National Library of Medicine (U.S.). Medical Subject Headings Section,,,"""Medicine""",psychology behavior
Bulletin of the Taylor Society,,Taylor Society,,,,psychology behavior
The Literary Digest International Book Review,,Clifford Smyth,,,"""American literature""",psychology behavior
Announcements for ...,,University of Pittsburgh. Graduate School,,,"""Universities and colleges""",psychology behavior
Psychology,,Henry L. Roediger,,,"""Psychology""",psychology behavior
Historical Outlook,"A Journal for Readers, Students and Teachers of History",,,,"""History""",psychology behavior
Readers' Guide to Periodical Literature,,Anna Lorraine Guthrie,,An author subject index to selected general interest periodicals of reference value in libraries.,"""Periodicals""",psychology behavior
World Today,,,,,,psychology behavior
Hearst's International,,,,,,psychology behavior
The New International Encyclopaedia,,,,,"""Encyclopedias and dictionaries""",psychology behavior
The World To-day,A Monthly Record of Human Progress,,,,"""American periodicals""",psychology behavior
The New International EncyclopÃ¦dia,Supplement. Volume I-,"Frank Moore Colby, Talcott Williams",,,"""Education""",psychology behavior
Circulars,,Johns Hopkins University,,,"""Science""",psychology behavior
The Johns Hopkins University Circular,,Johns Hopkins University,,"Includes University catalogues, President's report, Financial report, registers, announcement material, etc.",,psychology behavior
Reprint and Circular Series of the National Research Council,,,,,"""Research""",psychology behavior
Evolutionary Psychology,The Ultimate Origins of Human Behavior,"Jack A. Palmer, Linda K. Palmer",Allyn & Bacon,"A short, broad introduction to the emerging field of evolutionary psychology (the study of adaptive significance of behavior). 10 short chapters introduce the reader to the major topics within the field of evolutionary psychology (from ""Social Order and Disorder"" to ""Mating and Reproduction"" to ""The Creative Impulse: The Origins of Technology and Art""). For psychologists, students, or anyone interested in evolutionary psychology.","""Juvenile Nonfiction""",psychology behavior
Behavioral Interventions in Schools,Evidence-based Positive Strategies,Angeleque Akin-Little,American Psychological Association (APA),"This book provides school psychologists, counselors, social workers, school administrators, and teachers with a summary of ecologically sound primary, secondary, and tertiary prevention strategies. The contributors cover fundamentals such as how to conduct a behavioral assessment, how to measure treatment integrity and response to intervention, and how to promote generalization and maintenance of learned positive behaviors. They also discuss prevention measures such as positive behavior support and group contingencies that schools can implement system-wide. Several chapters describe more narrowly focused interventions such as daily report cards and self modeling, while the final section explains how to customize behavioral strategies for special populations such as preschoolers; children with autism, internalizing, or externalizing disorders; and those who have experienced trauma.","""Education""",psychology behavior
"4000-4999, Arts; 5000-5999, Theology; 6000-6999, Philosophy and education",,Princeton University. Library,,,"""Classified catalogs""",psychology behavior
"Affect, Conditioning, and Cognition (PLE: Emotion)",Essays on the Determinants of Behavior,"J. Bruce Overmier, F. Robert Brush",Psychology Press,"Originally published in 1985, this title was a retrospective appreciation of the late Richard L. Solomon. His pre- and postdoctoral students from past years presented the 22 papers which are published in this volume. The book reflects the breadth of Solomonâ€™s impact through his teaching and research. The first part contains a chapter that provides a bit of history in a retrospective appreciation of the several foci of Solomonâ€™s research career. This chapter sets the stage for those that follow and reduces their diversity by providing a degree of historical understanding. The second part on the role of properties of fear contains chapters that address various issues associated with the role of conditioned fear. The third part contains papers that address cognitive, information-processing issues in the context of Pavlovian conditioning of appetitive and aversive events, reasoning and timing. The fourth part continues the exploration of the phenomenon of learned helplessness first discovered in Solomonâ€™s laboratory. The fifth part addresses various issues associated with the Solomon and Corbit opponent-process theory of motivation and affect. The final part, on applications to human and cultural issues, contains chapters on such diverse subjects as cross-cultural analyses of aggressive behavior in children, the analysis of resistance to change in industrial organizations, the concept of liberty in formulating research issues in developmental psychology, and the status of free will in modern American psychology.","""Psychology""",psychology behavior
Behavioral Insights,,"Michael Hallsworth, Elspeth Kirkman",MIT Press,"The definitive introduction to the behavioral insights approach, which applies evidence about human behavior to practical problems. Our behavior is strongly influenced by factors that lie outside our conscious awareness, although we tend to underestimate the power of this â€œautomaticâ€ side of our behavior. As a result, governments make ineffective policies, businesses create bad products, and individuals make unrealistic plans. In contrast, the behavioral insights approach applies evidence about actual human behaviorâ€”rather than assumptions about itâ€”to practical problems. This volume in the MIT Press Essential Knowledge series, written by two leading experts in the field, offers an accessible introduction to behavioral insights, describing core features, origins, and practical examples. These insights have opened up new ways of addressing some of the biggest challenges faced by societies, changing the way that governments, businesses, and nonprofits work in the process. This book shows how the approach is grounded in a concern with practical problems, the use of evidence about human behavior to address those problems, and experimentation to evaluate the impact of the solutions. It gives an overview of the approach's origins in psychology and behavioral economics, its early adoption by the UK's pioneering â€œnudge unit,â€ and its recent expansion into new areas. The book also provides examples from across different policy areas and guidance on how to run a behavioral insights project. Finally, the book outlines the limitations and ethical implications of the approach, and what the future holds for this fast-moving area.","""Psychology""",psychology behavior
Eugenics,A Journal of Race Betterment,,,,"""Eugenics""",psychology behavior
Book Review Digest,,,,,"""Bibliography""",psychology behavior
Behavioral Self-management,"Strategies, Techniques and Outcomes",Richard B. Stuart,New York : Brunner/Mazel,,"""Psychology""",psychology behavior
Reflective and Impulsive Determinants of Human Behavior,,"Roland Deutsch, Bertram Gawronski, Wilhelm Hofmann",Psychology Press,"Conflicts between the ""head"" and the ""heart"" are very common in everyday life. Over the past decade, research on such self-regulatory conflicts has been strongly shaped by Strack and Deutschâ€™s 2004 Reflective-Impulsive Model (RIM). The award-winning theory integrates cognitive, affective, and motivational influences on overt behavior, offering a domain-independent framework that is applicable to wide range of social and non-social phenomena. This book provides a state-of-the-art overview of research under the framework of the RIM. Its 15 chapters provide an overview of basic principles of behavior determination, showcase the RIMâ€™s integrative and predictive power in many cross-cutting areas of inquiry, and illustrate the value of the theory for understanding the fundamental role of reflective and impulsive processes in various applied domains. Expanding on an introduction that discusses the significance of the RIM from a historical view, the book is divided into three major sections. The first section covers basic psychological principles within the RIM, including selective accessibility, embodiment, associative and propositional operations, and implementation intentions. The second section reviews the integrative and predictive power of the RIM in many cross-cutting areas of inquiry, including intuition, attitudes, self-control, and personality. Finally, the third section showcases the generative power of the RIM in various applied areas, including research on health behavior, addiction, anxiety, economic behavior, sexual behavior, and aggression. In its entirety, this volume provides an indispensable resource for any scholar interested in the psychological underpinnings of reflective and impulsive behavior in various areas of inquiry.","""Psychology""",psychology behavior
An Introduction to Behavior Analysis,,"Gregory J. Madden, Derek D. Reed, Florence D. DiGennaro Reed",John Wiley & Sons,"AN INTRODUCTION TO BEHAVIOR ANALYSIS Explore a fascinating introductory treatment of the principles of behavior analysis written by three leading voices in the field An Introduction to Behavior Analysis delivers an engaging and comprehensive introduction to the concepts and applications for graduate students of behavior analysis. Written from the ground up to capture and hold student interest, the book keeps its focus on practical issues. The book offers readers sound analyses of Pavlovian and operant learning, reinforcement and punishment, motivation and stimulus control, language and rule-following, decision-making and clinical behavior analysis. With fully up to date empirical research references and theoretical content, An Introduction to Behavior Analysis thoroughly justifies every principle it describes with empirical support and explicitly points out where more data are required. The text encourages students to analyze their own experiences and some foundational findings in the field in a way that minimizes jargon and maximizes engagement. Readers will also benefit from the inclusion of: A clear articulation and defense of the philosophical assumptions and overarching goals of behavior analysis. A thorough description of objective data collection, experimental methods, and data analysis in the context of psychology An exploration of the core principles of behavior analysis, presented at a level comprehensible to an introductory audience A broad array of principles that cover issues as varied as language, substance-use disorders, and common psychological disorders Perfect for students taking their first course in behavior analysis or behavior modification, An Introduction to Behavior Analysis will also earn a place in the libraries of students pursuing certification through the Behavior Analysis Certification Board or taking courses in the applied psychological sciences.","""Education""",psychology behavior
